,Name,Term,ES,NES
0,Veh_1,Cellular Response To Lipid (GO:0071396),4047.1157368977583,1.6255362848640156
1,Veh_5,Cellular Response To Lipid (GO:0071396),3824.1979425395584,1.5360006780694173
2,Veh_2,Cellular Response To Lipid (GO:0071396),3739.030930416724,1.5017930898808864
3,Veh_4,Cellular Response To Lipid (GO:0071396),3140.2209977775583,1.261279268057725
4,Veh_3,Cellular Response To Lipid (GO:0071396),2939.129530447746,1.180510271574387
5,DpC_1,Cellular Response To Lipid (GO:0071396),2540.3603683360507,1.0203434306838277
6,DpC_5,Cellular Response To Lipid (GO:0071396),2237.5117248487895,0.8987033564150977
7,DpC_2,Cellular Response To Lipid (GO:0071396),2030.9866769925156,0.8157519458678456
8,DpC_3,Cellular Response To Lipid (GO:0071396),1661.6356743441593,0.667400997763745
9,DpC_4,Cellular Response To Lipid (GO:0071396),1557.404633810127,0.6255362848640156
